160
0 -nan -nan
1 0.397221 0.000102
2 0.397256 0.000138
3 0.397157 0.000196
4 0.397294 0.000286
5 0.397289 0.000419
6 0.397348 0.000624
7 0.398522 0.000928
8 0.399174 0.001380
9 0.396778 0.002038
10 0.396338 0.003027
11 0.394535 0.004479
12 0.401077 0.006688
13 0.399742 0.009841
14 0.389768 0.014127
15 0.365830 0.020154
16 0.348451 0.028275
17 0.311360 0.040330
18 0.312365 0.054816
19 0.280138 0.078914
20 0.355429 0.103176
21 0.263091 0.160661
22 0.463127 0.209350
23 0.588231 0.303390
24 0.575833 0.297307
25 0.255120 0.235232
26 0.114394 0.342269
27 -nan -nan
28 -nan -nan
29 -nan -nan
30 0.170511 0.173990
31 -nan -nan
32 0.286602 0.144772
33 0.286870 0.156668
34 -nan -nan
35 -nan -nan
36 -nan -nan
37 0.158980 0.325493
38 0.257824 0.271507
39 0.289349 0.295594
40 -nan -nan
41 -nan -nan
42 0.605693 0.425388
43 0.383629 0.319903
44 0.405135 0.242070
45 -nan -nan
46 -nan -nan
47 -nan -nan
48 -nan -nan
49 0.055181 0.842282
50 -nan -nan
51 -nan -nan
52 -nan -nan
53 -nan -nan
54 -nan -nan
55 -nan -nan
56 -nan -nan
57 0.328541 0.642555
58 0.118939 2.068966
59 0.837473 2.536105
60 -nan -nan
61 0.447156 1.913211
62 -nan -nan
63 -nan -nan
64 -nan -nan
65 -nan -nan
66 0.231418 0.441332
67 -nan -nan
68 -nan -nan
69 -nan -nan
70 0.291426 4.431700
71 -nan -nan
72 -nan -nan
73 -nan -nan
74 -nan -nan
75 -nan -nan
76 -nan -nan
77 -nan -nan
78 -nan -nan
79 -nan -nan
80 -nan -nan
81 -nan -nan
82 -nan -nan
83 -nan -nan
84 -nan -nan
85 -nan -nan
86 -nan -nan
87 -nan -nan
88 -nan -nan
89 -nan -nan
90 0.291426 4.431700
91 -nan -nan
92 -nan -nan
93 -nan -nan
94 0.231418 0.441332
95 -nan -nan
96 -nan -nan
97 -nan -nan
98 -nan -nan
99 0.447156 1.913211
100 -nan -nan
101 0.837473 2.536105
102 0.118939 2.068966
103 0.328541 0.642555
104 -nan -nan
105 -nan -nan
106 -nan -nan
107 -nan -nan
108 -nan -nan
109 -nan -nan
110 -nan -nan
111 0.055181 0.842282
112 -nan -nan
113 -nan -nan
114 -nan -nan
115 -nan -nan
116 0.405135 0.242070
117 0.383629 0.319903
118 0.605693 0.425388
119 -nan -nan
120 -nan -nan
121 0.289349 0.295594
122 0.257824 0.271507
123 0.158980 0.325493
124 -nan -nan
125 -nan -nan
126 -nan -nan
127 0.286870 0.156668
128 0.286602 0.144772
129 -nan -nan
130 0.170511 0.173990
131 -nan -nan
132 -nan -nan
133 -nan -nan
134 0.114394 0.342269
135 0.255120 0.235232
136 0.575833 0.297307
137 0.588231 0.303390
138 0.463127 0.209350
139 0.263091 0.160661
140 0.355429 0.103176
141 0.280138 0.078914
142 0.312365 0.054816
143 0.311360 0.040330
144 0.348451 0.028275
145 0.365830 0.020154
146 0.389768 0.014127
147 0.399742 0.009841
148 0.401077 0.006688
149 0.394535 0.004479
150 0.396338 0.003027
151 0.396778 0.002038
152 0.399174 0.001380
153 0.398522 0.000928
154 0.397348 0.000624
155 0.397289 0.000419
156 0.397294 0.000286
157 0.397157 0.000196
158 0.397256 0.000138
159 0.397221 0.000102
