0 1.000068
1 0.566319
2 0.348267
3 0.222629
4 0.145715
5 0.096585
6 0.069648
7 0.051887
8 0.038344
9 0.028893
10 0.020770
11 0.015968
12 0.012371
13 0.008796
14 0.007469
15 0.005647
16 0.006546
17 0.001640
18 -0.002685
19 -0.007179
20 -0.006241
21 -0.007544
22 -0.007927
23 -0.004001
24 -0.002258
25 -0.001686
26 -0.006044
27 -0.006739
28 -0.005926
29 -0.006175
30 -0.008450
31 -0.005224
32 -0.000067
33 -0.002189
34 0.000543
35 0.000802
36 0.003789
37 0.003462
38 0.003456
39 0.000229
40 0.000811
41 0.004075
42 0.004561
43 0.006889
44 0.007562
45 0.007070
46 0.011825
47 0.012902
48 0.005354
49 0.003894
